受理单位,分类,主题,受理时间,办结时间,办理状态
遵化市教育局,"
投诉
",河北唐山遵化第一中学开办网课 两个月没有一天休息,"
2020-03-30
","
2020-04-27
","已办结
"
景县住房和城乡建设局,"
投诉
",河北衡水景县名苑丽景逾期交房 何时交？,"
2020-04-20
","
2020-04-27
","已办结
"
景县住房和城乡建设局,"
投诉
",河北衡水市景县名苑丽景小区逾期不交房,"
2020-04-20
","
2020-04-27
","已办结
"
景县住房和城乡建设局,"
投诉
",河北衡水景县明苑丽景逾期不交房,"
2020-04-15
","
2020-04-27
","已办结
"
部门,"
投诉
",保定安国顺城街车辆乱停乱放 影响通行,"
2019-09-27
","
2020-04-26
","已办结
"
部门,"
投诉
",湖北低风险地区返回河北廊坊 需要居家隔离吗？,"
2020-04-26
","
2020-04-26
","已办结
"
部门,"
投诉
",石家庄晋州市滨河路非法占道经营 占用盲道,"
2020-03-31
","
2020-04-26
","已办结
"
部门,"
投诉
",河北唐山市高新区爱信公司不分昼夜排放污染气体,"
2020-04-26
","
2020-04-26
","已办结
"
部门,"
投诉
",河北张家口宣化区跃进街道路改造工程迟迟没有动工,"
2020-04-23
","
2020-04-26
","已办结
"
承德双桥区住建局,"
投诉
",,"
2019-06-27
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟京雄世贸港收取高额服务费,"
2020-03-30
","
2020-04-26
","已办结
"
隆化县卫生健康局,"
投诉
",,"
2020-04-20
","
2020-04-26
","已办结
"
唐山市卫生健康委员会,"
咨询
",河北唐山夫妻一方为外省户口 独生子女证如何办理？,"
2020-04-21
","
2020-04-26
","已办结
"
乐亭县卫生健康局,"
咨询
",五一期间安徽合肥到河北唐山乐亭还需要隔离嘛？,"
2020-04-21
","
2020-04-26
","已办结
"
唐山市卫生健康委员会,"
投诉
",河北唐山从外地返回人员是否需要隔离？,"
2020-04-26
","
2020-04-26
","已办结
"
武安市水利局,"
投诉
",邯郸武安兴荣巷自来水长期浑浊,"
2019-05-23
","
2020-04-26
","已办结
"
武安市水利局,"
投诉
",邯郸武安崔炉村河道有安全隐患,"
2019-04-21
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟京雄世贸港无法签订网签合同,"
2020-03-31
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定京雄世贸港买房不退押金 望协调解决,"
2020-04-01
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟京雄世贸港购房定金迟迟不退,"
2020-04-01
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",外地复工返回河北廊坊永清小区强制要求去医院拍胸片,"
2020-03-02
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊永清县健康证明如何开？村里不知此事,"
2020-02-19
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊市永清县曹家务乡龙城21幸福家园小区何时解封,"
2020-03-27
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊市永清县刘其营乡二胎登记工作人员效率低,"
2020-01-15
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",廊坊永清县卫健局改厕工程事故频发 监管不严,"
2019-09-16
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊市湖北籍复工人员需要开具哪些证明,"
2020-04-01
","
2020-04-26
","已办结
"
清河县市场监督管理局,"
投诉
",河北邢台市清河县君合盛房地产开发有限公司乱收费,"
2020-04-24
","
2020-04-26
","已办结
"
定州市人社局,"
投诉
",河北定州赛正装饰拒不支付农民工工资,"
2020-04-14
","
2020-04-26
","已办结
"
武邑县卫生健康局,"
咨询
",武汉人去河北衡水武邑需要隔离吗？已做核酸检测,"
2020-04-26
","
2020-04-26
","已办结
"
唐山市公安局交警支队,"
咨询
",河北唐山出租车消违章必须要从业资格证吗？,"
2020-04-23
","
2020-04-26
","已办结
"
廊坊市市场监督管理局,"
投诉
",廊坊市12315打不通,"
2019-12-20
","
2020-04-26
","已办结
"
廊坊市市场监督管理局,"
投诉
",廊坊优信二手车平台买车 拒不提档维权无门,"
2020-01-02
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北保定高速etc收费有疑问 望解释,"
2020-04-21
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北廊坊居民没车没ETC 省高速莫名来扣钱,"
2020-04-13
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北廊坊车主ETC多扣费 高速客服96122人工电话打不通,"
2020-04-07
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北邢台车辆上高速没用ETC 莫名被收钱,"
2020-04-03
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北高速ETC小程序收费总额和银行扣款不一 反映十天无果,"
2020-03-27
","
2020-04-26
","已办结
"
三河市交通运输局,"
投诉
",河北廊坊三河301路公交测体温没必要接触皮肤 望采纳,"
2020-04-23
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄车主高速ETC扣费多达14次 咋回事？,"
2020-03-24
","
2020-04-26
","已办结
"
滦州市自然资源和规划局,"
投诉
",河北唐山滦州市小贺庄子村征地 去世老人承包地无偿收回,"
2020-04-26
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄市裕华区ETC多扣费,"
2020-01-15
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄裕华路高速口etc严重超额扣费,"
2020-01-19
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北高速ETC扣款异常 多出款项没有记录,"
2020-01-08
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄小轿车走一次高速 连续三天被重复扣费,"
2020-01-13
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
求助
",廊坊市车主无法申办ETC,"
2019-12-12
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",首次申请ETC 却被告知已在河北发行办理,"
2019-12-16
","
2020-04-26
","已办结
"
石家庄市税务局,"
投诉
",河北石家庄赵县亿博上城2019交房代收契税,"
2020-04-15
","
2020-04-26
","已办结
"
石家庄市税务局,"
投诉
",河北石家庄井陉县楼盘未交房 税务局催收契税,"
2020-04-20
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北ETC乱收费 车未动却被扣费,"
2020-03-18
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北张家口车主未上高速 却受到etc扣费信息,"
2020-03-17
","
2020-04-26
","已办结
"
承德双桥区住建局,"
投诉
",承德市大老虎沟路面坑洼难行 请尽快维修,"
2019-04-08
","
2020-04-26
","已办结
"
承德双桥区住建局,"
投诉
",承德市大老虎沟道路供暖施工破坏 至今未修复,"
2019-07-18
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北廊坊车主ETC双重扣费 无人解决,"
2020-03-17
","
2020-04-26
","已办结
"
沧州市新华区住建局,"
投诉
",河北沧州米苏阳光迟迟无法正常交房,"
2020-04-16
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北高速ETC乱收费,"
2020-03-13
","
2020-04-26
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台拉菲公庭商品房盖房缓慢 无限延期交房,"
2020-04-20
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北ETC高速公路多扣费,"
2020-03-13
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北邢台车主仅上一次高速频繁被ETC扣费 投诉无门,"
2020-03-12
","
2020-04-26
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台月亮湾延期三年 仍不交房,"
2020-04-23
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北ETC车没动却无端扣费,"
2020-03-12
","
2020-04-26
","已办结
"
黄骅市场监督管理局,"
投诉
",河北沧州黄骅分期购车时2000元押金迟迟不退,"
2020-04-16
","
2020-04-26
","已办结
"
张家口市公安局,"
投诉
",河北张家口拒绝机动车异地检车 不落实放管服政策,"
2020-04-26
","
2020-04-26
","已办结
"
沧州市新华区住建局,"
投诉
",河北沧州泰和世家垃圾堆放不清理 盼处理,"
2020-04-16
","
2020-04-26
","已办结
"
河间市房产管理局,"
投诉
",河北沧州河间市房产继承需要交百分之二十税,"
2020-04-20
","
2020-04-26
","已办结
"
黄骅市教育局,"
投诉
",河北沧州黄骅中学新建高中是什么情况？,"
2020-04-22
","
2020-04-26
","已办结
"
部门,"
投诉
",河北石家庄长安区鼎坚市场西门高音喇叭扰民,"
2020-04-24
","
2020-04-26
","已办结
"
部门,"
投诉
",离鄂人员到廊坊大厂短暂停留 接人 是否要采样送检,"
2020-04-24
","
2020-04-26
","已办结
"
沧州市新华区住建局,"
投诉
",河北沧州市新华区枫尚国际物业服务差,"
2020-03-23
","
2020-04-26
","已办结
"
兴隆县自然资源和规划局,"
投诉
",河北承德兴隆豪庭小区业主贷款合同放不动产中心后丢失 望查找,"
2020-04-24
","
2020-04-26
","已办结
"
肃宁县住房和城乡建设局,"
投诉
",河北沧州市肃宁县春泽庭院信件投递不让进小区 望精准施策,"
2020-04-20
","
2020-04-26
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台凤凰城梧桐苑延期三年不交工,"
2020-04-20
","
2020-04-26
","已办结
"
武安市自然资源和规划局,"
咨询
",邯郸武安土地划拨性质房屋过户办理暂停 何时恢复,"
2020-04-26
","
2020-04-26
","已办结
"
磁县自然资源和规划局,"
投诉
",邯郸磁县世纪城购房四年不办理房产证,"
2020-04-26
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北高速ETC扣款和银行多次对不上 客服无人接听,"
2020-03-11
","
2020-04-26
","已办结
"
沧州市新华区市场监督管理…,"
投诉
",河北沧州路博汽车服务公司不退车贷押金,"
2020-03-31
","
2020-04-26
","已办结
"
部门,"
投诉
",河北邢台经济开发区综治中心霸占多个公用车位,"
2020-04-20
","
2020-04-26
","已办结
"
沧州市新华区市场监督管理…,"
投诉
",,"
2020-04-20
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北邯郸车辆ETC多次无故扣费 0.29元是啥费？,"
2020-03-10
","
2020-04-26
","已办结
"
沧州市公安局交警支队,"
投诉
",河北沧州万泰丽景东西区中间规划路有僵尸车长期挡路停放 望处理,"
2020-04-21
","
2020-04-26
","已办结
"
沧州市公安局交警支队,"
投诉
",河北沧州市运河区光荣路机动车违法占道严重,"
2020-04-21
","
2020-04-26
","已办结
"
沧州市公安局交警支队,"
投诉
",河北沧州市四合菜市场路口车辆乱停放 望交警严查,"
2020-04-20
","
2020-04-26
","已办结
"
沧州市公安局交警支队,"
投诉
",河北沧州二针小区道路两侧车辆乱停 望严查,"
2020-04-20
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北张家口车主未安装车辆ETC被高速扣费 反映无果,"
2020-03-09
","
2020-04-26
","已办结
"
沧州市公安局,"
投诉
",河北沧州市有住房有公积金 可以快速办理居住证吗？,"
2020-04-24
","
2020-04-26
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄Fly家品格民宿疫情期间不退订金 翻脸不认,"
2020-04-26
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北承德车主ETC被扣费 今年未走过高速,"
2020-03-09
","
2020-04-26
","已办结
"
部门,"
投诉
",河北衡水故城县顺达东路停车难 建议多规划车位,"
2020-03-31
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北ETC车未出门却被扣费,"
2020-03-05
","
2020-04-26
","已办结
"
沧州市公安局,"
投诉
",,"
2020-04-09
","
2020-04-26
","已办结
"
沧州市公安局,"
投诉
",,"
2020-04-20
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
咨询
",河北石家庄车主高速免费期间ETC扣费并重复扣费 怎么回事？,"
2020-03-05
","
2020-04-26
","已办结
"
部门,"
投诉
",河北沧州东光县城区建新路北段乱停车堵车严重,"
2020-04-24
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北定州etc重复收费 是何原因？,"
2020-02-19
","
2020-04-26
","已办结
"
石家庄市鹿泉区住建局,"
投诉
",河北石家庄鹿泉嘉珍公馆无证销售不退房款,"
2020-04-15
","
2020-04-26
","已办结
"
部门,"
投诉
",河北邯郸峰峰居民家中无人居住 水费竟高达900元,"
2020-04-20
","
2020-04-26
","已办结
"
秦皇岛市人社局,"
咨询
",河北秦皇岛男职工生育陪护假期间工资正常发放吗？,"
2020-04-26
","
2020-04-26
","已办结
"
部门,"
投诉
",河北沧州颐和文园小区15号楼居民豢养大烈性猛犬 没人管,"
2020-04-20
","
2020-04-26
","已办结
"
石家庄市人社局,"
投诉
",河北石家庄市人社局职称查询系统查不到信息  联系不上,"
2020-04-23
","
2020-04-26
","已办结
"
部门,"
投诉
",河北石家庄市高营大街何时拓宽？每天都盼着,"
2020-04-21
","
2020-04-26
","已办结
"
石家庄市12315指挥中…,"
投诉
",河北石家庄联动云汽车租赁公司违章处理不顺畅 拒不返还客户押金,"
2020-04-16
","
2020-04-26
","已办结
"
保定市城市管理行政执法局,"
投诉
",河北保定市复兴路西延什么时候可以通车？修了好多年,"
2020-04-23
","
2020-04-26
","已办结
"
临漳县自然资源和规划局,"
投诉
",邯郸市临漳县不交300元煤球钱不发放土地确权证,"
2020-04-26
","
2020-04-26
","已办结
"
中捷产业园区建设局,"
投诉
",河北沧州渤海新区半岛国际新房漏水 至今未解决,"
2020-04-22
","
2020-04-26
","已办结
"
磁县自然资源和规划局,"
投诉
",邯郸市磁县北开河村土地被政府部门以租代征,"
2020-04-26
","
2020-04-26
","已办结
"
磁县自然资源和规划局,"
投诉
",邯郸市磁县财苑小区能否办理不动产权证？,"
2020-04-26
","
2020-04-26
","已办结
"
沧州市交通运输局,"
投诉
",,"
2020-04-20
","
2020-04-26
","已办结
"
部门,"
投诉
",河北邯郸峰峰矿区军民路磁州茶艺坊门前儿童摇摆车噪音扰民,"
2020-04-15
","
2020-04-26
","已办结
"
部门,"
投诉
",河北张家口云奥招标代理公司注销两年 员工社保转移须原企业减员,"
2020-04-24
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊固安安检站效率低 拥堵严重,"
2020-04-24
","
2020-04-26
","已办结
"
部门,"
投诉
",河北邯郸峰峰矿区黑龙洞东侧摊贩喇叭声扰民,"
2020-04-15
","
2020-04-26
","已办结
"
部门,"
投诉
",河北邯郸市峰峰矿区彭城镇中医院附近路灯昏暗,"
2020-04-24
","
2020-04-26
","已办结
"
固安县市场监督管理局,"
投诉
",河北廊坊固安一米阳光小区电梯经常发生故障 突然失控,"
2020-04-13
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊三河燕郊至望京西882路公交车何时恢复？,"
2020-04-24
","
2020-04-26
","已办结
"
沧州市运河区城市管理局,"
投诉
",河北沧州欣颜坊美容院私画车位占用公共场所,"
2020-04-14
","
2020-04-26
","已办结
"
沧县卫生健康局,"
投诉
",,"
2020-04-20
","
2020-04-26
","已办结
"
裕华区市场监督管理局,"
投诉
",,"
2020-04-20
","
2020-04-26
","已办结
"
保定市民政局,"
咨询
",河北保定市各养老机构什么时候恢复正常接收工作？,"
2020-04-20
","
2020-04-26
","已办结
"
衡水市城市管理局,"
投诉
",河北衡水怡安家园交房七年不通天然气,"
2020-04-16
","
2020-04-26
","已办结
"
临漳县自然资源和规划局,"
投诉
",河北邯郸临漳岗陵城17年的征地补贴款没人给,"
2020-04-15
","
2020-04-26
","已办结
"
临漳县自然资源和规划局,"
投诉
",邯郸市临漳县盛世阳光小区交房两年未办房产证,"
2020-04-26
","
2020-04-26
","已办结
"
临漳县自然资源和规划局,"
投诉
",邯郸市临漳县邺都华府何时才能办理房产证？,"
2018-12-12
","
2020-04-26
","已办结
"
临漳县自然资源和规划局,"
投诉
",邯郸临漳后村村民耕地住房被强卖 开发商强拆,"
2018-10-10
","
2020-04-26
","已办结
"
部门,"
投诉
",河北张家口沙岭子实验一中老师强制学生购买口罩袜子,"
2020-04-16
","
2020-04-26
","已办结
"
鹿泉区市场监督管理局,"
投诉
",石家庄鹿泉区龙海花园物业按房屋面积四舍五入收费,"
2020-04-14
","
2020-04-26
","已办结
"
三河市教育和体育局,"
投诉
",,"
2020-04-22
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊大厂紫藤园工地夜间施工噪音大 影响居民休息,"
2020-04-21
","
2020-04-26
","已办结
"
部门,"
投诉
",,"
2020-03-26
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊大厂潮白河孔雀城乱停车 无人管理,"
2020-04-24
","
2020-04-26
","已办结
"
香河县市场监督管理局,"
投诉
",河北廊坊香河香蒲屿签订阴阳合同 多收费不退还,"
2020-04-15
","
2020-04-26
","已办结
"
香河县市场监督管理局,"
投诉
",河北廊坊香河汇美家居城买家具送货质量差 称爱要不要,"
2020-04-16
","
2020-04-26
","已办结
"
衡水市卫生健康局,"
投诉
",河北衡水计生网上大厅独生子女证无法进入证件输入环节,"
2020-04-15
","
2020-04-26
","已办结
"
邯郸市公安局邯山区分局,"
投诉
",河北邯郸御河尚院售楼部领导打人 报警无人管,"
2020-04-21
","
2020-04-26
","已办结
"
衡水市城市管理局,"
投诉
",河北衡水市大庆路与长地北街交叉口多个铁皮棚子占路,"
2020-04-21
","
2020-04-26
","已办结
"
邢台市民政局,"
投诉
",河北邢台桥西杰地润园小区无社区居委会接收,"
2020-04-13
","
2020-04-26
","已办结
"
邯郸市医疗保障局,"
咨询
",河北邯郸尿毒症医保报销比例是多少？,"
2020-04-20
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊三河燕郊兴达社区停办工作出入证 复工难,"
2020-04-24
","
2020-04-26
","已办结
"
南宫市自然资源和规划局,"
投诉
",河北邢台南宫市农村宅基地证迟迟不发,"
2020-04-21
","
2020-04-26
","已办结
"
部门,"
投诉
",沧州市新华区建北街私搭乱建,"
2019-12-18
","
2020-04-26
","已办结
"
部门,"
投诉
",河北沧州市新华区百合14号楼电梯损坏2个月无人维修,"
2020-04-09
","
2020-04-26
","已办结
"
保定市住房公积金管理中心,"
投诉
",河北保定省直社保为何不能买保定主城区房子？,"
2020-03-30
","
2020-04-26
","已办结
"
部门,"
投诉
",河北邯郸永年区施庄村北牌坊烧烤摊位烟气弥漫 乱倒垃圾,"
2020-04-24
","
2020-04-26
","已办结
"
兴隆县自然资源和规划局,"
投诉
",河北承德兴隆县兴隆豪庭小区5层商业楼变成12层 规划公示违规,"
2020-04-10
","
2020-04-26
","已办结
"
兴隆县自然资源和规划局,"
投诉
",河北承德兴隆豪庭小区更改规划 5层商业变12层住宅,"
2020-04-24
","
2020-04-26
","已办结
"
邢台市桥西区住建局,"
投诉
",河北邢台桥西三峰万和城十年不交房 还着房贷没盼头,"
2020-04-24
","
2020-04-26
","已办结
"
邢台市桥西区住建局,"
感谢信
",河北邢台市三峰万和城购房人感谢邢台市桥西区住建局 解答详尽,"
2020-04-24
","
2020-04-26
","已办结
"
武邑县住建局,"
投诉
",河北衡水武邑东方明珠小区违规销售,"
2020-03-17
","
2020-04-26
","已办结
"
沧州市供排水集团,"
投诉
",河北沧州天成郡府小区房子无人居住 水费月月欠费,"
2020-04-17
","
2020-04-26
","已办结
"
沧州市供排水集团,"
投诉
",河北沧州沧县御景园只能到物业交水费,"
2020-04-17
","
2020-04-26
","已办结
"
沧州市供排水集团,"
投诉
",河北沧州南环邮政小区小区6楼吃不上水,"
2020-04-16
","
2020-04-26
","已办结
"
沧州市供排水集团,"
投诉
",河北沧州自来水公司标号错误让先交费 长时间不解决,"
2020-04-14
","
2020-04-26
","已办结
"
部门,"
投诉
",河北石家庄裕华区燕港新村23号楼私搭乱建 散养鸡,"
2020-04-24
","
2020-04-26
","已办结
"
部门,"
投诉
",河北省唐山市曹妃甸区幸福花园业主拆除承重墙,"
2020-02-02
","
2020-04-26
","已办结
"
武邑县住建局,"
投诉
",河北衡水市武邑县中央蓝郡小区被电信宽带垄断,"
2020-03-31
","
2020-04-26
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化一中乱收住宿费 在家网课收费照旧,"
2020-04-15
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊固安县自然资源和规划局不接电话,"
2020-04-24
","
2020-04-26
","已办结
"
部门,"
投诉
",廊坊三河燕郊光明路易燃品多 存在消防隐患,"
2020-01-06
","
2020-04-26
","已办结
"
部门,"
投诉
",廊坊市燕郊经开发区夜晚工地噪音扰民,"
2019-12-18
","
2020-04-26
","已办结
"
部门,"
投诉
",廊坊三河市燕郊北蔡街北侧停车位停车被大规模贴条,"
2020-01-08
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊燕郊迎宾路行宫宾馆前转盘建议安装红绿灯,"
2020-01-14
","
2020-04-26
","已办结
"
部门,"
投诉
",河北省三河市燕郊行宫东大街出租车停车占道,"
2020-01-16
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊三河燕郊嘉诚国际小区东门口公交站被黑车占道,"
2020-01-17
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊燕郊镇福成五期及六期周边市政道路边停车位收费何理？,"
2020-02-24
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊燕郊疫情期间如何申请汽车年检标？,"
2020-03-03
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊燕郊神威北路自行车道被划为车道 易发生事故,"
2020-03-04
","
2020-04-26
","已办结
"
邯郸市住房公积金管理中心,"
咨询
",河北邯郸荣盛城可以使用部队公积金贷款吗？,"
2020-04-24
","
2020-04-26
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄远洋七号项目工程进度到什么程度？,"
2020-04-24
","
2020-04-26
","已办结
"
沧州市城市管理综合行政执…,"
投诉
",河北沧州同天底商霸占停车位不让停,"
2020-04-21
","
2020-04-26
","已办结
"
定州市公安局,"
投诉
",河北定州市嘉欣家园小区门口违停车辆多堵塞出口,"
2020-04-21
","
2020-04-26
","已办结
"
沧州市城市管理综合行政执…,"
投诉
",河北沧州通翔园小区一号楼东侧临建房,"
2020-04-21
","
2020-04-26
","已办结
"
唐山市卫生健康委员会,"
投诉
",河北唐山人去北京出差返回后 还需要隔离吗？,"
2020-04-21
","
2020-04-26
","已办结
"
迁西县卫生健康局,"
咨询
",河北唐山迁西县来自湖南人员 是否需要隔离14天？,"
2020-04-24
","
2020-04-26
","已办结
"
唐山市丰南区住建局,"
投诉
",河北唐山丰南湖岸新城302栋燃气至今未开通 望协调,"
2020-03-31
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊北三县大厂与燕郊间断头路何时修通？,"
2020-04-08
","
2020-04-26
","已办结
"
部门,"
投诉
",河北廊坊市大厂祁各庄镇盛景澜湾玫瑰园儿童娱乐设施扰民,"
2020-04-08
","
2020-04-26
","已办结
"
石家庄市城市管理综合行政…,"
建议
",河北石家庄南二环辅路地下桥经常拥堵 建议打通仓丰路与汇明路,"
2020-04-24
","
2020-04-26
","已办结
"
唐山市丰南区住建局,"
投诉
",河北唐山市丰南区华彩唐人街壹号小区房本迟迟不下来,"
2020-04-24
","
2020-04-26
","已办结
"
邢台县住房和城乡建设局,"
投诉
",河北邢台蓝洋荣景园8号楼交钱3年 未动工,"
2020-04-14
","
2020-04-26
","已办结
"
邢台县住房和城乡建设局,"
投诉
",河北邢台盛世地产邢台院子无证售房 退房款推托不退,"
2020-04-20
","
2020-04-26
","已办结
"
邢台县住房和城乡建设局,"
投诉
",河北邢台凤巢园北区顶楼漏水 望解决,"
2020-04-15
","
2020-04-26
","已办结
"
邢台县住房和城乡建设局,"
投诉
",河北邢台蓝洋荣景园8号楼逾期交房 至今未动工,"
2020-04-16
","
2020-04-26
","已办结
"
邢台县住房和城乡建设局,"
投诉
",河北邢台蓝洋荣景园8号楼到交房时间竟未动工,"
2020-04-21
","
2020-04-26
","已办结
"
部门,"
投诉
",河北保定涿州市莲池村出行困难 5分钟土路污染重,"
2020-04-20
","
2020-04-25
","已办结
"
部门,"
投诉
",河北保定涿州838路公交何时恢复,"
2020-04-24
","
2020-04-25
","已办结
"
部门,"
投诉
",河北邯郸丛台区中华餐馆噪音扰民 严重影响休息,"
2020-04-08
","
2020-04-25
","已办结
"
沧州市运河区生态环境局,"
投诉
",河北沧州国富馨悦湾小区南侧工厂噪音扰民,"
2020-03-25
","
2020-04-25
","已办结
"
临城县住房和城乡建设局,"
投诉
",河北邢台临城县七十号院开发商水费捆绑物业费,"
2020-03-30
","
2020-04-25
","已办结
"
临城县住房和城乡建设局,"
投诉
",河北邢台临城县七十号院开发商物业费与税费捆绑 望解决,"
2020-04-23
","
2020-04-25
","已办结
"
部门,"
投诉
",河北石家庄桥西区华域城小区无充电设备 有安全隐患,"
2020-04-23
","
2020-04-25
","已办结
"
部门,"
投诉
",河北石家庄长安区安联新青年广场小区出行不便 建议修天桥,"
2020-04-23
","
2020-04-25
","已办结
"
部门,"
投诉
",河北石家庄桥西区汇明路工程今年施工吗？,"
2020-04-24
","
2020-04-25
","已办结
"
部门,"
投诉
",河北唐山市景泰翰林物业私自断停住户自来水 已停水两天,"
2020-04-14
","
2020-04-25
","已办结
"
魏县公安局,"
投诉
",,"
2020-04-21
","
2020-04-24
","已办结
"
魏县公安局,"
投诉
",,"
2020-03-30
","
2020-04-24
","已办结
"
魏县公安局,"
投诉
",,"
2020-04-01
","
2020-04-24
","已办结
"
魏县公安局,"
投诉
",河北邯郸魏县科教路一号有人组织赌博 望查处,"
2020-04-22
","
2020-04-24
","已办结
"
部门,"
投诉
",河北廊坊三河市从武汉返回人员 要自费集中隔离吗?,"
2020-04-10
","
2020-04-24
","已办结
"
部门,"
投诉
",从福州去石家庄长安区出两天需不需隔离,"
2020-04-24
","
2020-04-24
","已办结
"
部门,"
投诉
",河北衡水桃城区怡水花园四期夜间施工严重扰民,"
2020-03-26
","
2020-04-24
","已办结
"
部门,"
投诉
",河北衡水桃城区天悦府夜晚施工 是否合理？,"
2020-04-24
","
2020-04-24
","已办结
"
部门,"
投诉
",河北省张家口市桥东区准生证一天只有2个小时办公,"
2020-04-24
","
2020-04-24
","已办结
"
晋州市住建局,"
投诉
",石家庄市晋州金方丽城房本何时办？,"
2019-07-10
","
2020-04-24
","已办结
"
晋州市住建局,"
投诉
",河北石家庄晋州市总十庄镇拾美小镇何时开建？,"
2020-01-16
","
2020-04-24
","已办结
"
高邑县住建局,"
投诉
",河北石家庄高邑县祥云凤凰尚苑集体供暖难实现 已全部同意,"
2020-04-15
","
2020-04-24
","已办结
"
高邑县住建局,"
投诉
",河北石家庄高邑县平安里小区工程无进展,"
2020-04-16
","
2020-04-24
","已办结
"
石家庄市住房和城乡建设局,"
投诉
",河北石家庄东二环南延何时开始修建？,"
2020-04-22
","
2020-04-24
","已办结
"
石家庄市住房和城乡建设局,"
投诉
",河北石家庄无极中央公馆可以缴纳空置房物业费？,"
2020-04-23
","
2020-04-24
","已办结
"
部门,"
投诉
",河北张家口去廊坊燕郊需要隔离吗？集中还是居家？,"
2020-04-08
","
2020-04-24
","已办结
"
东光县住房和城乡建设局,"
投诉
",沧州市东光县东光怡心园飞龙东区物业捆绑销售 私自断电,"
2019-12-12
","
2020-04-24
","已办结
"
部门,"
投诉
",河北廊坊固安九鼎集团工地夜间施工扰民,"
2020-04-24
","
2020-04-24
","已办结
"
定州市交通运输局,"
投诉
",河北定州亚光驾校未走完学时 拒绝退费,"
2020-03-31
","
2020-04-24
","已办结
"
